reviews,lemmas,lemmas,aspectCategory
But the staff was so horrible to us.,"['horribl', 'staff', 'us']","['horribl', 'staff', 'us']",service
"To be completely fair, the only redeeming factor was the food, which was above average, but couldn't make up for all the other deficiencies of Teodora.","['redeem', 'teodora', 'averag', 'fair', 'factor', 'complet', 'make', 'defici', 'food']","['redeem', 'teodora', 'averag', 'fair', 'factor', 'complet', 'make', 'defici', 'food']",food
"The food is uniformly exceptional, with a very capable kitchen which will proudly whip up whatever you feel like eating, whether it's on the menu or not.","['like', 'whether', 'feel', 'capabl', 'eat', 'menu', 'except', 'uniformli', 'proudli', 'kitchen', 'whatev', 'whip', 'food']","['like', 'whether', 'feel', 'capabl', 'eat', 'menu', 'except', 'uniformli', 'proudli', 'kitchen', 'whatev', 'whip', 'food']",food
Where Gabriela personaly greets you and recommends you what to eat.,"['personali', 'recommend', 'gabriela', 'eat', 'greet']","['personali', 'recommend', 'gabriela', 'eat', 'greet']",service
"For those that go once and don't enjoy it, all I can say is that they just don't get it.","['go', 'get', 'say', 'enjoy']","['go', 'get', 'say', 'enjoy']",anecdotes/miscellaneous
"Not only was the food outstanding, but the little 'perks' were great.","['littl', 'outstand', 'perk', 'food', 'great']","['littl', 'outstand', 'perk', 'food', 'great']",food
It is very overpriced and not very tasty.,"['overpric', 'tasti']","['overpric', 'tasti']",food
Our agreed favorite is the orrechiete with sausage and chicken (usually the waiters are kind enough to split the dish in half so you get to sample both meats).,"['waiter', 'usual', 'get', 'half', 'chicken', 'split', 'favorit', 'dish', 'kind', 'sausag', 'enough', 'agre', 'orrechiet', 'sampl', 'meat']","['waiter', 'usual', 'get', 'half', 'chicken', 'split', 'favorit', 'dish', 'kind', 'sausag', 'enough', 'agre', 'orrechiet', 'sampl', 'meat']",food
"The Bagels have an outstanding taste with a terrific texture, both chewy yet not gummy.","['gummi', 'terrif', 'chewi', 'yet', 'textur', 'outstand', 'bagel', 'tast']","['gummi', 'terrif', 'chewi', 'yet', 'textur', 'outstand', 'bagel', 'tast']",food
Nevertheless the food itself is pretty good.,"['pretti', 'food', 'nevertheless', 'good']","['pretti', 'food', 'nevertheless', 'good']",food
"They did not have mayonnaise, forgot our toast, left out ingredients (ie cheese in an omelet), below hot temperatures and the bacon was so over cooked it crumbled on the plate when you touched it.","['ie', 'hot', 'touch', 'leav', 'forget', 'chees', 'temperatur', 'bacon', 'crumbl', 'ingredi', 'mayonnais', 'omelet', 'plate', 'toast', 'cook']","['ie', 'hot', 'touch', 'leav', 'forget', 'chees', 'temperatur', 'bacon', 'crumbl', 'ingredi', 'mayonnais', 'omelet', 'plate', 'toast', 'cook']",food
"It took half an hour to get our check, which was perfect since we could sit, have drinks and talk!","['get', 'half', 'could', 'sinc', 'check', 'talk', 'perfect', 'hour', 'take', 'drink', 'sit']","['get', 'half', 'could', 'sinc', 'check', 'talk', 'perfect', 'hour', 'take', 'drink', 'sit']",service
The design and atmosphere is just as good.,"['design', 'good', 'atmospher']","['design', 'good', 'atmospher']",ambience
He has visited Thailand and is quite expert on the cuisine.,"['quit', 'visit', 'thailand', 'cuisin', 'expert']","['quit', 'visit', 'thailand', 'cuisin', 'expert']",food
I would definitely recommend Mary's and am making it one of my regular neighborhood haunts.,"['regular', 'neighborhood', 'one', 'recommend', 'make', 'would', 'mari', 'haunt', 'definit']","['regular', 'neighborhood', 'one', 'recommend', 'make', 'would', 'mari', 'haunt', 'definit']",anecdotes/miscellaneous
The pizza is the best if you like thin crusted pizza.,"['like', 'best', 'crust', 'thin', 'pizza']","['like', 'best', 'crust', 'thin', 'pizza']",food
My Girlfriend and I stumbled onto this hopping place the other night and had a great time!,"['time', 'onto', 'hop', 'stumbl', 'night', 'girlfriend', 'place', 'great']","['time', 'onto', 'hop', 'stumbl', 'night', 'girlfriend', 'place', 'great']",anecdotes/miscellaneous
"He can't help, they're bought up so fast.","['help', 'buy', 'fast']","['help', 'buy', 'fast']",anecdotes/miscellaneous
"Secondly, on this night the place was overwhelmed by upper east side ladies perfume.","['ladi', 'east', 'night', 'overwhelm', 'upper', 'secondli', 'place', 'perfum', 'side']","['ladi', 'east', 'night', 'overwhelm', 'upper', 'secondli', 'place', 'perfum', 'side']",ambience
"i have eaten here a handful of times, for no reason besides sheer convenience.","['hand', 'time', 'reason', 'sheer', 'besid', 'conveni', 'eat']","['hand', 'time', 'reason', 'sheer', 'besid', 'conveni', 'eat']",anecdotes/miscellaneous
Obviously run by folks who know a pie.,"['know', 'obvious', 'run', 'pie', 'folk']","['know', 'obvious', 'run', 'pie', 'folk']",service
We were very disappointed.,['disappoint'],['disappoint'],anecdotes/miscellaneous
